ID,Nominee,Party,Gender,State,Region,WiderRegion,Type,Race,Class,Incumbent,Victor,Votes,Share,Total,HeldBy,Hometown,ElectionDay,ElectionYear,YearType,LastElection,Final,Special,Runoff
11,Terrycina A. Sewell,Democratic,Female,Alabama,South Central,South,House,AL-07,Class 1,TRUE,TRUE,186723,0.6368,293220,Democratic,"Birmingham, Alabama",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
12,Nicholas J. Begich III,Republican,Male,Alaska,Pacific,West,House,AK-AL (First Round),Class 1,FALSE,TRUE,159777,0.4849,329493,Democratic,"Chugiak, Alaska",2024-11-05,2024,Presidential,2022-11-08,FALSE,FALSE,FALSE
13,Eric G. Hafner,Democratic,Male,Alaska,Pacific,West,House,AK-AL (First Round),Class 1,FALSE,FALSE,3558,0.0108,329493,Democratic,"Box Elder, South Dakota",2024-11-05,2024,Presidential,2022-11-08,FALSE,FALSE,FALSE
14,Mary Sattler Peltola,Democratic,Female,Alaska,Pacific,West,House,AK-AL (First Round),Class 1,TRUE,TRUE,152948,0.4642,329493,Democratic,"Bethel, Alaska",2024-11-05,2024,Presidential,2022-11-08,FALSE,FALSE,FALSE
15,John Wayne Howe,Independence,Male,Alaska,Pacific,West,House,AK-AL (First Round),Class 1,FALSE,TRUE,13210,0.0401,329493,Democratic,"Fairbanks, Alaska",2024-11-05,2024,Presidential,2022-11-08,FALSE,FALSE,FALSE
16,Nicholas J. Begich III,Republican,Male,Alaska,Pacific,West,House,AK-AL (Second Round),Class 1,FALSE,TRUE,160044,0.4877,328176,Democratic,"Chugiak, Alaska",2024-11-05,2024,Presidential,2022-11-08,FALSE,FALSE,TRUE
17,Mary Sattler Peltola,Democratic,Female,Alaska,Pacific,West,House,AK-AL (Second Round),Class 1,TRUE,TRUE,154261,0.4701,328176,Democratic,"Bethel, Alaska",2024-11-05,2024,Presidential,2022-11-08,FALSE,FALSE,TRUE
18,John Wayne Howe,Independence,Male,Alaska,Pacific,West,House,AK-AL (Second Round),Class 1,FALSE,FALSE,13871,0.0423,328176,Democratic,"Fairbanks, Alaska",2024-11-05,2024,Presidential,2022-11-08,FALSE,FALSE,TRUE
19,Nicholas J. Begich III,Republican,Male,Alaska,Pacific,West,House,AK-AL (Final Round),Class 1,FALSE,TRUE,164861,0.5122,321846,Democratic,"Chugiak, Alaska",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,TRUE
20,Mary Sattler Peltola,Democratic,Female,Alaska,Pacific,West,House,AK-AL (Final Round),Class 1,TRUE,FALSE,156985,0.4878,321846,Democratic,"Bethel, Alaska",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,TRUE
21,Kari Lake Halperin,Republican,Female,Arizona,Mountain,West,Senate,AZ-Sen,Class 1,FALSE,FALSE,1595761,0.4765,3348814,Independent,"Phoenix, Arizona",2024-11-05,2024,Presidential,2018-11-06,TRUE,FALSE,FALSE
22,Ruben M. Gallego,Democratic,Male,Arizona,Mountain,West,Senate,AZ-Sen,Class 1,FALSE,TRUE,1676335,0.5006,3348814,Independent,"Phoenix, Arizona",2024-11-05,2024,Presidential,2018-11-06,TRUE,FALSE,FALSE
23,Eduardo H. Quintana Fernandez,Green,Male,Arizona,Mountain,West,Senate,AZ-Sen,Class 1,FALSE,FALSE,75868,0.0227,3348814,Independent,"Tucson, Arizona",2024-11-05,2024,Presidential,2018-11-06,TRUE,FALSE,FALSE
24,David S. Schweikert,Republican,Male,Arizona,Mountain,West,House,AZ-01,Class 1,TRUE,TRUE,225538,0.5191,434504,Republican,"Fountain Hills, Arizona",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
25,Amish Shah,Democratic,Male,Arizona,Mountain,West,House,AZ-01,Class 1,FALSE,FALSE,208966,0.4809,434504,Republican,"Phoenix, Arizona",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
26,Elijah J. Crane,Republican,Male,Arizona,Mountain,West,House,AZ-02,Class 1,TRUE,TRUE,221413,0.5448,406431,Republican,"Oro Valley, Arizona",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
27,Jonathan M. Nez,Democratic,Male,Arizona,Mountain,West,House,AZ-02,Class 1,FALSE,FALSE,184963,0.4551,406431,Republican,"Flagstaff, Arizona",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
28,Jeffrey N. Zink,Republican,Male,Arizona,Mountain,West,House,AZ-03,Class 1,FALSE,FALSE,53705,0.2671,201065,Democratic,"Phoenix, Arizona",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
29,Yassamin Ansari,Democratic,Female,Arizona,Mountain,West,House,AZ-03,Class 1,FALSE,TRUE,143336,0.7129,201065,Democratic,"Phoenix, Arizona",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
30,Alan G. Aversa,Green,Male,Arizona,Mountain,West,House,AZ-03,Class 1,FALSE,FALSE,4008,0.0199,201065,Democratic,"Phoenix, Arizona",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
31,Kelly Cooper,Republican,Male,Arizona,Mountain,West,House,AZ-04,Class 1,FALSE,FALSE,152052,0.4545,334545,Democratic,"Chandler, Arizona",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
32,Gregory J. Stanton,Democratic,Male,Arizona,Mountain,West,House,AZ-04,Class 1,TRUE,TRUE,176428,0.5274,334545,Democratic,"Phoenix, Arizona",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
33,Vincent Beck-Jones,Green,Male,Arizona,Mountain,West,House,AZ-04,Class 1,FALSE,FALSE,6065,0.0181,334545,Democratic,"Mesa, Arizona",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
34,Andrew S. Biggs,Republican,Male,Arizona,Mountain,West,House,AZ-05,Class 1,TRUE,TRUE,255628,0.6039,423308,Republican,"Gilbert, Arizona",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
35,Katrina M. Schaffner,Democratic,Female,Arizona,Mountain,West,House,AZ-05,Class 1,FALSE,FALSE,167680,0.3961,423308,Republican,"Mesa, Arizona",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
36,Juan G. Ciscomani III,Republican,Male,Arizona,Mountain,West,House,AZ-06,Class 1,TRUE,TRUE,215596,0.5,431220,Republican,"Tucson, Arizona",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
37,Kirsten H. Engel,Democratic,Female,Arizona,Mountain,West,House,AZ-06,Class 1,FALSE,FALSE,204774,0.4749,431220,Republican,"Tucson, Arizona",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
38,"Karen M. ""Athena"" Eastwood",Green,Female,Arizona,Mountain,West,House,AZ-06,Class 1,FALSE,FALSE,10759,0.025,431220,Republican,"Oro Valley, Arizona",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
39,"Daniel Francis Butierez, Sr.",Republican,Male,Arizona,Mountain,West,House,AZ-07,Class 1,FALSE,FALSE,99057,0.3655,271011,Democratic,"Marana, Arizona",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
40,Raúl M. Grijalva,Democratic,Male,Arizona,Mountain,West,House,AZ-07,Class 1,TRUE,TRUE,171954,0.6345,271011,Democratic,"Tucson, Arizona",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
41,Abraham J. Hamadeh,Republican,Male,Arizona,Mountain,West,House,AZ-08,Class 1,FALSE,TRUE,208269,0.565,368613,Republican,"Peoria, Arizona",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
42,Gregory H. Whitten,Democratic,Male,Arizona,Mountain,West,House,AZ-08,Class 1,FALSE,FALSE,160344,0.435,368613,Republican,"Glendale, Arizona",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
43,Paul A. Gosar,Republican,Male,Arizona,Mountain,West,House,AZ-09,Class 1,TRUE,TRUE,249583,0.653,382223,Republican,"Bullhead City, Arizona",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
44,Quacy L. Smith,Democratic,Male,Arizona,Mountain,West,House,AZ-09,Class 1,FALSE,FALSE,132640,0.347,382223,Republican,"Buckeye, Arizona",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
45,Eric A. Crawford,Republican,Male,Arkansas,South Central,South,House,AR-01,Class 1,TRUE,TRUE,194711,0.7288,267177,Republican,"Jonesboro, Arkansas",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
46,Rodney W. Govens,Democratic,Male,Arkansas,South Central,South,House,AR-01,Class 1,FALSE,FALSE,64113,0.24,267177,Republican,"Cabot, Arkansas",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
47,Steven Gene Parsons,Libertarian,Male,Arkansas,South Central,South,House,AR-01,Class 1,FALSE,FALSE,8353,0.0313,267177,Republican,"Lakeview, Arkansas",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
48,J. French Hill,Republican,Male,Arkansas,South Central,South,House,AR-02,Class 1,TRUE,TRUE,180509,0.5893,306286,Republican,"Little Rock, Arkansas",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
49,Marcus A. Jones,Democratic,Male,Arkansas,South Central,South,House,AR-02,Class 1,FALSE,FALSE,125777,0.4107,306286,Republican,"Little Rock, Arkansas",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
50,Stephen A. Womack,Republican,Male,Arkansas,South Central,South,House,AR-03,Class 1,TRUE,TRUE,192101,0.638,301084,Republican,"Rogers, Arkansas",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
51,Caitlin R. Draper,Democratic,Female,Arkansas,South Central,South,House,AR-03,Class 1,FALSE,FALSE,95652,0.3177,301084,Republican,"Fayetteville, Arkansas",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
52,Bobby Ray Wilson,Libertarian,Male,Arkansas,South Central,South,House,AR-03,Class 1,FALSE,FALSE,13331,0.0443,301084,Republican,"Bentonville, Arkansas",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
53,Bruce E. Westerman,Republican,Male,Arkansas,South Central,South,House,AR-04,Class 1,TRUE,TRUE,197046,0.7291,270253,Republican,"Hot Springs, Arkansas",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
54,Risie R. Howard,Democratic,Female,Arkansas,South Central,South,House,AR-04,Class 1,FALSE,FALSE,73207,0.2709,270253,Republican,"Pine Bluff, Arkansas",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
55,Steven P. Garvey,Republican,Male,California,Pacific,West,Senate,CA-Sen (Special),Class 1,FALSE,FALSE,6204637,0.4125,15041688,Democratic,"Indian Wells, California",2024-11-05,2024,Presidential,2018-11-06,TRUE,TRUE,FALSE
56,Adam B. Schiff,Democratic,Male,California,Pacific,West,Senate,CA-Sen (Special),Class 1,FALSE,TRUE,8837051,0.5875,15041688,Democratic,"Burbank, California",2024-11-05,2024,Presidential,2018-11-06,TRUE,TRUE,FALSE
57,Steven P. Garvey,Republican,Male,California,Pacific,West,Senate,CA-Sen,Class 1,FALSE,FALSE,6312594,0.4113,15348486,Democratic,"Indian Wells, California",2024-11-05,2024,Presidential,2018-11-06,TRUE,FALSE,FALSE
58,Adam B. Schiff,Democratic,Male,California,Pacific,West,Senate,CA-Sen,Class 1,FALSE,TRUE,9036252,0.5887,15348486,Democratic,"Burbank, California",2024-11-05,2024,Presidential,2018-11-06,TRUE,FALSE,FALSE
59,Douglas L. LaMalfa,Republican,Male,California,Pacific,West,House,CA-01,Class 1,TRUE,TRUE,208592,0.6534,319228,Republican,"Oroville, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
60,Rose Penelope Yee,Democratic,Female,California,Pacific,West,House,CA-01,Class 1,FALSE,FALSE,110636,0.3466,319228,Republican,"Redding, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
61,Christopher M. Coulombe,Republican,Male,California,Pacific,West,House,CA-02,Class 1,FALSE,FALSE,106734,0.2812,379617,Democratic,"Santa Rosa, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
62,Jared W. Huffman,Democratic,Male,California,Pacific,West,House,CA-02,Class 1,TRUE,TRUE,272883,0.7188,379617,Democratic,"San Rafael, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
63,Kevin P. Kiley,Republican,Male,California,Pacific,West,House,CA-03,Class 1,TRUE,TRUE,234246,0.5547,422313,Republican,"Rocklin, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
64,Jessica D. Morse,Democratic,Female,California,Pacific,West,House,CA-03,Class 1,FALSE,FALSE,188067,0.4453,422313,Republican,"Roseville, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
65,"John R. Munn, Jr.",Republican,Male,California,Pacific,West,House,CA-04,Class 1,FALSE,FALSE,114950,0.3354,342680,Democratic,"Davis, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
66,C. Michael Thompson,Democratic,Male,California,Pacific,West,House,CA-04,Class 1,TRUE,TRUE,227730,0.6646,342680,Democratic,"St. Helena, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
67,Thomas M. McClintock II,Republican,Male,California,Pacific,West,House,CA-05,Class 1,TRUE,TRUE,227643,0.6177,368562,Republican,"Elk Grove, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
68,Michael J. Barkley,Democratic,Male,California,Pacific,West,House,CA-05,Class 1,FALSE,FALSE,140919,0.3823,368562,Republican,"Manteca, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
69,Christine B. Bish,Republican,Female,California,Pacific,West,House,CA-06,Class 1,FALSE,FALSE,121664,0.4238,287072,Democratic,"Citrus Heights, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
70,Amerish B. Bera,Democratic,Male,California,Pacific,West,House,CA-06,Class 1,TRUE,TRUE,165408,0.5762,287072,Democratic,"Elk Grove, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
71,Thomas W. Silva,Republican,Male,California,Pacific,West,House,CA-07,Class 1,FALSE,FALSE,98341,0.3325,295770,Democratic,"Galt, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
72,Doris O. Matsui,Democratic,Female,California,Pacific,West,House,CA-07,Class 1,TRUE,TRUE,197429,0.6675,295770,Democratic,"Sacramento, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
73,Rudy Sallygumay Recile,Republican,Male,California,Pacific,West,House,CA-08,Class 1,FALSE,FALSE,71068,0.2603,273030,Democratic,"Vacaville, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
74,John R. Garamendi,Democratic,Male,California,Pacific,West,House,CA-08,Class 1,TRUE,TRUE,201962,0.7397,273030,Democratic,"Walnut Grove, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
75,Kevin J. Lincoln II,Republican,Male,California,Pacific,West,House,CA-09,Class 1,FALSE,FALSE,121174,0.4821,251357,Democratic,"Stockton, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
76,Joshua K. Harder,Democratic,Male,California,Pacific,West,House,CA-09,Class 1,TRUE,TRUE,130183,0.5179,251357,Democratic,"Tracy, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
77,Katherine J. Piccinini,Republican,Female,California,Pacific,West,House,CA-10,Class 1,FALSE,FALSE,122219,0.3353,364544,Democratic,"Oakley, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
78,Mark J. DeSaulnier,Democratic,Male,California,Pacific,West,House,CA-10,Class 1,TRUE,TRUE,242325,0.6647,364544,Democratic,"Concord, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
79,Bruce C. Lou,Republican,Male,California,Pacific,West,House,CA-11,Class 1,FALSE,FALSE,64315,0.1897,339111,Democratic,"San Francisco, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
80,Nancy D. Pelosi,Democratic,Female,California,Pacific,West,House,CA-11,Class 1,TRUE,TRUE,274796,0.8103,339111,Democratic,"San Francisco, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
81,Lateefah A. Simon,Democratic,Female,California,Pacific,West,House,CA-12,Class 1,FALSE,TRUE,185176,0.6543,283025,Democratic,"Oakland, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
82,Jennifer K. Tran,Democratic,Female,California,Pacific,West,House,CA-12,Class 1,FALSE,FALSE,97849,0.3457,283025,Democratic,"Oakland, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
83,John S. Duarte,Republican,Male,California,Pacific,West,House,CA-13,Class 1,TRUE,FALSE,105367,0.4996,210921,Republican,"Modesto, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
84,Adam C. Gray,Democratic,Male,California,Pacific,West,House,CA-13,Class 1,FALSE,TRUE,105554,0.5004,210921,Republican,"Merced, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
85,S. Vinayaka Kruttiventi,Republican,Male,California,Pacific,West,House,CA-14,Class 1,FALSE,FALSE,89125,0.3225,276388,Democratic,"Wilton, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
86,Eric M. Swalwell,Democratic,Male,California,Pacific,West,House,CA-14,Class 1,TRUE,TRUE,187263,0.6775,276388,Democratic,"Livermore, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
87,Anna Cheng Kramer,Republican,Female,California,Pacific,West,House,CA-15,Class 1,FALSE,FALSE,77896,0.269,289544,Democratic,"San Carlos, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
88,Kevin C. Mullin,Democratic,Male,California,Pacific,West,House,CA-15,Class 1,TRUE,TRUE,211648,0.731,289544,Democratic,"South San Francisco, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
89,Samuel T. Liccardo,Democratic,Male,California,Pacific,West,House,CA-16,Class 1,FALSE,TRUE,179583,0.5822,308476,Democratic,"San Jose, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
90,Evan Low,Democratic,Male,California,Pacific,West,House,CA-16,Class 1,FALSE,FALSE,128893,0.4178,308476,Democratic,"Mountain View, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
91,Anita Chen,Republican,Female,California,Pacific,West,House,CA-17,Class 1,FALSE,FALSE,82415,0.3234,254877,Democratic,"Santa Clara, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
92,Rohit Khanna,Democratic,Male,California,Pacific,West,House,CA-17,Class 1,TRUE,TRUE,172462,0.6766,254877,Democratic,"Fremont, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
93,Peter D. Hernandez,Republican,Male,California,Pacific,West,House,CA-18,Class 1,FALSE,FALSE,80832,0.3537,228506,Democratic,"Hollister, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
94,"Susan E. ""Zoe"" Lofgren",Democratic,Female,California,Pacific,West,House,CA-18,Class 1,TRUE,TRUE,147674,0.6463,228506,Democratic,"San Jose, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
95,Jason Michael Anderson,Republican,Male,California,Pacific,West,House,CA-19,Class 1,FALSE,FALSE,111862,0.307,364320,Democratic,"Atascadero, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
96,James V. Panetta,Democratic,Male,California,Pacific,West,House,CA-19,Class 1,TRUE,TRUE,252458,0.693,364320,Democratic,"Carmel Valley Village, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
97,Michael S. Boudreaux,Republican,Male,California,Pacific,West,House,CA-20,Class 1,FALSE,FALSE,100926,0.3495,288788,Republican,"Springville, California",2024-11-05,2024,Presidential,2024-05-21,TRUE,FALSE,FALSE
98,Vincent K. Fong,Republican,Male,California,Pacific,West,House,CA-20,Class 1,TRUE,TRUE,187862,0.6505,288788,Republican,"Bakersfield, California",2024-11-05,2024,Presidential,2024-05-21,TRUE,FALSE,FALSE
99,Michael A. Maher,Republican,Male,California,Pacific,West,House,CA-21,Class 1,FALSE,FALSE,92733,0.4743,195531,Democratic,"Kingsburg, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
100,James M. Costa,Democratic,Male,California,Pacific,West,House,CA-21,Class 1,TRUE,TRUE,102798,0.5257,195531,Democratic,"Fresno, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
101,David Goncalves Valadao,Republican,Male,California,Pacific,West,House,CA-22,Class 1,TRUE,TRUE,89484,0.5342,167507,Republican,"Hanford, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
102,"Rodolfo J. ""Rudy"" Salas",Democratic,Male,California,Pacific,West,House,CA-22,Class 1,FALSE,FALSE,78023,0.4658,167507,Republican,"Bakersfield, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
103,Jay P. Obernolte,Republican,Male,California,Pacific,West,House,CA-23,Class 1,TRUE,TRUE,159286,0.6014,264849,Republican,"Big Bear Lake, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
104,Derek W. Marshall,Democratic,Male,California,Pacific,West,House,CA-23,Class 1,FALSE,FALSE,105563,0.3986,264849,Republican,"Victorville, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
105,Thomas C. Cole,Republican,Male,California,Pacific,West,House,CA-24,Class 1,FALSE,FALSE,127755,0.373,342479,Democratic,"Montecito, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
106,Salud O. Carbajal,Democratic,Male,California,Pacific,West,House,CA-24,Class 1,TRUE,TRUE,214724,0.627,342479,Democratic,"Santa Barbara, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
107,Ian M. Weeks,Republican,Male,California,Pacific,West,House,CA-25,Class 1,FALSE,FALSE,107194,0.4375,245031,Democratic,"Hemet, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
108,Raul Ruiz,Democratic,Male,California,Pacific,West,House,CA-25,Class 1,TRUE,TRUE,137837,0.5625,245031,Democratic,"Indio, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
109,Michael S. Koslow,Republican,Male,California,Pacific,West,House,CA-26,Class 1,FALSE,FALSE,146913,0.4395,334306,Democratic,"Westlake, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
110,Julia A. Brownley,Democratic,Female,California,Pacific,West,House,CA-26,Class 1,TRUE,TRUE,187393,0.5605,334306,Democratic,"Westlake Village, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
111,Michael J. Garcia,Republican,Male,California,Pacific,West,House,CA-27,Class 1,TRUE,FALSE,146050,0.4867,300090,Republican,"Santa Clarita, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
112,George T. Whitesides,Democratic,Male,California,Pacific,West,House,CA-27,Class 1,FALSE,TRUE,154040,0.5133,300090,Republican,"Newhall, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
113,April A. Verlato,Republican,Female,California,Pacific,West,House,CA-28,Class 1,FALSE,FALSE,110455,0.3507,314944,Democratic,"Arcadia, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
114,Judy M. Chu,Democratic,Female,California,Pacific,West,House,CA-28,Class 1,TRUE,TRUE,204489,0.6493,314944,Democratic,"Monterey Park, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
115,Benito Bernal,Republican,Male,California,Pacific,West,House,CA-29,Class 1,FALSE,FALSE,63374,0.3022,209686,Democratic,"Woodland Hills, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
116,Luz Maria Rivas,Democratic,Female,California,Pacific,West,House,CA-29,Class 1,FALSE,TRUE,146312,0.6978,209686,Democratic,"Los Angeles, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
117,Alex A. Balekian,Republican,Male,California,Pacific,West,House,CA-30,Class 1,FALSE,FALSE,98559,0.3162,311659,Democratic,"Glendale, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
118,Laura S. Friedman,Democratic,Female,California,Pacific,West,House,CA-30,Class 1,FALSE,TRUE,213100,0.6838,311659,Democratic,"Los Angeles, California",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
